seq,doi,title,status,converted_r,conversion_formula,sample_size_n,t_value,p_value,effect_direction,curve_type,notes
221,10.3390/su152115652,Examining the Impact of Internationalization and C,NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
277,10.1007/s10799-018-0287-2,"The impact of technology capability, human resourc",EXTRACTED,0.295,beta,79,,0.1,+,linear,Internationalization experience has a weakly positive effect on sales growth
87,10.1016/j.ibusrev.2014.12.006,"Country specific advantage, firm specific advantag",NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
120,10.3846/16111699.2012.668860,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND E",NOT_FOUND,,not_found,99,,,,unknown,No direct internationalization → firm performance relationship found
176,10.3390/su17041576,"Does Maintaining Resources, Diversification, and I",NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
197,10.1016/j.heliyon.2024.e33492,"Environmental, social and governance performance: ",NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
266,10.1016/j.jwb.2019.04.002,Outward FDI and profitability of emerging economy ,EXTRACTED,0.11,beta,7784,,0.011,+,linear,FDI positively influences firm profitability
286,10.3390/admsci8040064,Internationalization and Performance of Vietnamese,NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
301,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internatio,EXTRACTED,0.356,beta,200,,0.001,+,linear,Proactiveness has a significant direct positive contribution to firm performance
313,10.1017/mor.2015.32,Internationalization and Performance of Chinese Fa,NOT_FOUND,,not_found,225,,,,unknown,No direct internationalization → firm performance coefficient reported
475,10.3390/su12145508,A Patulous Progress: International Entrepreneurshi,NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
48,10.1177/1069031x20988260,Internationalizing the Coopetition Construct: Quad,NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
463,10.1108/imr-02-2024-0039,Finding the sweet spot: effects of exporting on th,NO_PDF,,,,,,,,no PDF: download failed (paywall/landing page) or no OA URL
