source,source_id,authors,year,title,journal,doi,abstract
scopus,2-s2.0-85119624903,Dong M.,2022,Performance feedback and export intensity of Chinese private firms: Moderating roles of institution-related factors,International Business Review,10.1016/j.ibusrev.2021.101948,
scopus,2-s2.0-85104538201,Shin J.,2022,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,Asia Pacific Journal of Management,10.1007/s10490-021-09751-3,
scopus,2-s2.0-85134317263,Berry H.,2022,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. Multinational Corporations",Strategy Science,10.1287/stsc.2022.0158,
scopus,2-s2.0-85124362404,Karami M.,2022,Effectual control and small firms' international performance: the mediating role of partnership and gaining new knowledge,International Journal of Entrepreneurial Behaviour and Research,10.1108/ijebr-02-2021-0097,
scopus,2-s2.0-85127808715,Rao K.K.,2022,Quality of voluntary modern slavery disclosures: top Australian listed companies,Pacific Accounting Review,10.1108/par-07-2021-0117,
scopus,2-s2.0-85113869704,Faroque A.R.,2022,The standalone and resource-bundling effects of government and nongovernment institutional support on early internationalizing firms’ performance,Critical Perspectives on International Business,10.1108/cpoib-06-2020-0076,
scopus,2-s2.0-85102288370,Gao Y.,2022,On the spillover effect of China's outward FDI in Germany,Economics of Transition and Institutional Change,10.1111/ecot.12281,
scopus,2-s2.0-85127288748,Correa da Cunha H.,2022,Toward a more in-depth measurement of cultural distance: A re-evaluation of the underlying assumptions,International Journal of Cross Cultural Management,10.1177/14705958221089192,
scopus,2-s2.0-85116911593,Bıçakcıoğlu-Peynirci N.,2022,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,Journal of International Marketing,10.1177/1069031x211030686,
scopus,2-s2.0-105003852285,Tyagi S.,2022,What Determines Profitability in the Indian Automobile Industry?,Indian Economic Journal,10.1177/00194662211063574,
scopus,2-s2.0-85120978387,Demir F.,2022,"Local corruption, total factor productivity and firm heterogeneity: Empirical evidence from Chinese manufacturing firms",World Development,10.1016/j.worlddev.2021.105770,
scopus,2-s2.0-85120470291,Kim Y.J.,2022,The synergistic impact between internationalization and supply-and-demand interaction on firm performance: a study of environmental responsibility in social networking service,International Journal of Contemporary Hospitality Management,10.1108/ijchm-05-2021-0679,
scopus,2-s2.0-85124576601,Cao X.,2022,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,Plos One,10.1371/journal.pone.0263674,
scopus,2-s2.0-85107412778,Freixanet J.,2022,"Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",Global Strategy Journal,10.1002/gsj.1412,
scopus,2-s2.0-85124270810,Sang M.,2022,Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case of Construction Firms,Buildings,10.3390/buildings12020185,
scopus,2-s2.0-85102054524,Tsai H.T.,2022,The influence of the five cardinal values of confucianism on firm performance,Review of Managerial Science,10.1007/s11846-021-00452-1,
scopus,2-s2.0-85130441643,Pacheco L.,2022,The Presence of Foreign Capital and the Internationalization of Portuguese Industrial SMEs,Journal of Risk and Financial Management,10.3390/jrfm15020068,
scopus,2-s2.0-85144473066,Capar N.,2022,Internationalisation and the performance of German firms,Journal for Global Business Advancement,10.1504/jgba.2022.127205,
scopus,2-s2.0-85116860552,Azman M.A.,2022,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,Journal of Management in Engineering,10.1061/(asce)me.1943-5479.0000985,
scopus,2-s2.0-85082330511,Battaglia D.,2022,Dealing with the tensions between innovation and internationalization in SMEs: A dynamic capability view,Journal of Small Business Management,10.1080/00472778.2020.1711635,
scopus,2-s2.0-85121844704,Çela A.,2022,Internationalization of large companies from central and eastern Europe or the birth of new stars,Sustainability Switzerland,10.3390/su14010261,
scopus,2-s2.0-85131419418,Webster A.,2022,Foreign ownership and firm performance in Sub-Saharan Africa,Transnational Corporations Review,10.1080/19186444.2022.2078630,
scopus,2-s2.0-85140618985,Capar N.,2022,Firm resources and internationalisation performance,Journal for International Business and Entrepreneurship Development,10.1504/jibed.2022.125706,
scopus,2-s2.0-85147144919,Santos A.,2022,Certification of Portuguese companies as an inducer of profitability: A panel data approach,Problems and Perspectives in Management,10.21511/ppm.20(4).2022.35,
scopus,2-s2.0-85161907677,Arshi T.A.,2022,Early internationalisation of entrepreneurial firms: the role of artificial intelligence enhanced business models,Journal for International Business and Entrepreneurship Development,10.1504/jibed.2022.130387,
scopus,2-s2.0-85137829726,Vuorio A.,2022,The role of slack resources and managerial capabilities in early and late internationalization: a configurational approach,Small Enterprise Research,10.1080/13215906.2022.2113742,
scopus,2-s2.0-85134916428,Charalampakis P.,2022,Identifying the factors affecting firm performance and growth: the case of Italian publicly listed companies,International Journal of Economics and Business Research,10.1504/ijebr.2022.124291,
scopus,2-s2.0-85126006003,Sui S.,2022,Differences between women- and men-owned export businesses: are women-owned export businesses more financially successful when they adopt an intensive export strategy?,Journal of Small Business and Entrepreneurship,10.1080/08276331.2022.2045169,
scopus,2-s2.0-85137748259,Noerlina ,2022,The Importance of Interfirm Networks in Enhancing Innovation Capability and Exporting in High-Tech Industry,Hightech and Innovation Journal,10.28991/hij-sp2022-03-05,
scopus,2-s2.0-85134984137,Baena-Rojas J.J.,2022,ICT and the Trading Negotiation for International Sale Contracts in the Pacific Alliance Firms1,Revista Lasallista De Investigacion,10.22507/rli.v19n1a12,
scopus,2-s2.0-105004227408,Neamat S.,2022,A Strategy for the Growth and Internationalization of Companies: International Mergers and Acquisitions,Journal of Applied Science and Technology Trends,10.38094/jastt302133,
scopus,2-s2.0-85136068261,Xing Y.,2022,Management Cost Management and Resource Optimization of Construction Enterprises Based on Ecological Environment Constraints,Journal of Environmental and Public Health,10.1155/2022/9884746,
scopus,2-s2.0-85163765157,Chawla I.,2022,Benefitting from Investment Abroad? Evidence from Indian Manufacturing,Asia and the Global Economy,10.1016/j.aglobe.2021.100022,
scopus,2-s2.0-85124023901,Kravchenko G.,2021,International Experts' Influence on Company Internationalization,Central European Management Journal,10.7206/cemj.2658-0845.60,
scopus,2-s2.0-85123073453,Caussat P.,2021,"Competitive Advantages in a Hostile, Regulated Environment: Four Multinational Banks in India",Management International Review,10.1007/s11575-021-00459-6,
scopus,2-s2.0-85106372106,Reichstein-Scholz H.,2021,Sales to centre stage! Determinants of the division in strategic sales decisions within the MNE,International Business Review,10.1016/j.ibusrev.2021.101859,
scopus,2-s2.0-85124000668,Fonfara K.,2021,Does Psychic Distance Still Matter? Empirical Evidence from Poland,Central European Management Journal,10.7206/cemj.2658-0845.59,
scopus,2-s2.0-85091008394,Song S.,2021,The Effect of Internationalization on Firm Performance: A Moderating Role of Heterogeneity in TMTs’ Nationality,Cornell Hospitality Quarterly,10.1177/1938965520958703,
scopus,2-s2.0-85118442449,Wang J.,2021,The internationalization of Chinese multinational enterprises under the Belt-and-Road Initiative,Strategic Change,10.1002/jsc.2467,
scopus,2-s2.0-85113722541,Pereira J.,2021,Unboxing organisational complexity: how does it affect business performance during the COVID-19 pandemic?,Journal of Entrepreneurship and Public Policy,10.1108/jepp-06-2021-0070,
scopus,2-s2.0-85107602840,Zhang B.,2021,Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,Chinese Management Studies,10.1108/cms-06-2020-0249,
scopus,2-s2.0-85095834720,R L M.,2021,Innovation and firm growth in agricultural inputs industry: empirical evidence from India,Journal of Agribusiness in Developing and Emerging Economies,10.1108/jadee-07-2020-0156,
scopus,2-s2.0-85091683979,Orero-Blat M.,2021,Knowledge assets for internationalization strategy proposal,Journal of Innovation and Knowledge,10.1016/j.jik.2020.08.002,
scopus,2-s2.0-85107552574,Alnori F.,2021,Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,Journal of International Financial Management and Accounting,10.1111/jifm.12134,
scopus,2-s2.0-85116137093,Dănescu T.,2021,The impact of corporate governance mechanism over financial performance: evidence from romania,Sustainability Switzerland,10.3390/su131910494,
scopus,2-s2.0-85105818896,Driffield N.,2021,Internationalization pathways of Chinese private firms: A closer look at firm-specific advantages,Journal of International Management,10.1016/j.intman.2021.100835,
scopus,2-s2.0-85117959291,Andrei A.G.,2021,Connecting the Dots: Exploring the Knowledge-based Antecedents of SMEs' Profitability and Development via International Ventures,Management and Marketing,10.2478/mmcks-2021-0011,
scopus,2-s2.0-85100779683,Gonçalves T.,2021,Commitment to exporting as an antecedent of organizational skills and firm performance,Journal of Business Economics,10.1007/s11573-021-01028-x,
scopus,2-s2.0-85062478243,Yang Y.,2021,Does GRI Sustainability Reporting Pay Off? An Empirical Investigation of Publicly Listed Firms in China,Business and Society,10.1177/0007650319831632,
scopus,2-s2.0-85113740627,Merlevede B.,2021,Productivity effects of internationalisation through the domestic supply chain,Journal of Applied Econometrics,10.1002/jae.2837,
scopus,2-s2.0-85102468339,Beamish P.W.,2021,Using the Resource-Based View in Multinational Enterprise Research,Journal of Management,10.1177/0149206321995575,
scopus,2-s2.0-85114670137,Batsakis G.,2021,Achieving the Paradox of Concurrent Internationalization Speed: Internationalizing Rapidly in Both Breadth and Depth,Management International Review,10.1007/s11575-021-00453-y,
scopus,2-s2.0-85103941643,Leung T.Y.,2021,Differences in the impact of R&D intensity and R&D internationalization on firm performance – Mediating role of innovation performance,Journal of Business Research,10.1016/j.jbusres.2021.03.060,
scopus,2-s2.0-85100301951,Arrighetti A.,2021,Swimming upstream throughout the turmoil: Evidence on firm growth during the great recession,Scottish Journal of Political Economy,10.1111/sjpe.12272,
scopus,2-s2.0-85103984657,Kafouros M.,2021,Do firms profit from patent litigation? The contingent roles of diversification and intangible assets,Research Policy,10.1016/j.respol.2021.104263,
scopus,2-s2.0-85089034078,Neumann T.,2021,"The impact of entrepreneurship on economic, social and environmental welfare and its determinants: a systematic review",Management Review Quarterly,10.1007/s11301-020-00193-7,
scopus,2-s2.0-85108703365,Moreno-Gené J.,2021,Intergenerational differences in family business management and their influence on business profitability,Sustainability Switzerland,10.3390/su13126979,
scopus,2-s2.0-85104427131,Crick J.M.,2021,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,Journal of International Marketing,10.1177/1069031x20988260,
scopus,2-s2.0-85096612005,Williams D.W.,2021,Unpacking the age at initial internationalization-performance relationship: A meta-analytic investigation,Journal of Business Venturing Insights,10.1016/j.jbvi.2020.e00210,
scopus,2-s2.0-85089186663,Colombo M.G.,2021,Dynamic capabilities and high-tech entrepreneurial ventures’ performance in the aftermath of an environmental jolt,Long Range Planning,10.1016/j.lrp.2020.102026,
scopus,2-s2.0-85106303894,Paul M.,2021,Import intensity of India’s manufactured exports: an industry level analysis,Indian Economic Review,10.1007/s41775-020-00104-3,
scopus,2-s2.0-85099569254,De Montreuil Carmona L.J.,2021,Measuring competitiveness through the global competitiveness project framework: the Brazilian experience,Competitiveness Review,10.1108/cr-12-2019-0164,
scopus,2-s2.0-85102640491,Li H.,2021,On the relationship between the energy conservation and emissions reduction policy and employment adjustment by manufacturing firms: Microdata from China,Journal of Cleaner Production,10.1016/j.jclepro.2021.126652,
scopus,2-s2.0-85103760163,Vendrell-Herrero F.,2021,Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,Industrial Marketing Management,10.1016/j.indmarman.2021.04.001,
scopus,2-s2.0-85094634350,Rigo D.,2021,Global value chains and technology transfer: new evidence from developing countries,Review of World Economics,10.1007/s10290-020-00398-8,
scopus,2-s2.0-85096823766,Chen Y.,2021,Environmental policies and financial performance: stock market reaction to firms for their proactive environmental practices recognized by governmental programs,Business Strategy and the Environment,10.1002/bse.2693,
scopus,2-s2.0-85089202279,Arzubiaga U.,2021,Organisational learning as a mediator in the host-home country similarity–international firm performance link: the role of exploration and exploitation,European Business Review,10.1108/ebr-09-2019-0238,
scopus,2-s2.0-85090209594,Morgan H.M.,2021,No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,Journal of International Business Studies,10.1057/s41267-020-00360-8,
scopus,2-s2.0-85103805999,R.L M.,2021,Does investment in innovation impact firm performance in emerging economies? An empirical investigation of the Indian food and agricultural manufacturing industry,International Journal of Innovation Science,10.1108/ijis-07-2020-0104,
scopus,2-s2.0-85100150733,Zainudin R.,2021,Internationalisation and financial performance: in the case of global automotive firms,Review of International Business and Strategy,10.1108/ribs-04-2020-0039,
scopus,2-s2.0-85092113248,Forte R.,2021,Debt–performance relationship and firms' international trade activities,Managerial Finance,10.1108/mf-04-2020-0162,
scopus,2-s2.0-85105030720,Barłozewski K.,2021,"Is internationalisation beneficial for novice internationalisers? The performance effects of firm-specific advantages, internationalisation degree and firm size revisited",Oeconomia Copernicana,10.24136/oc.2021.003,
scopus,2-s2.0-85091384575,Sharapov D.,2021,"Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, and corporate group effects on affiliate profitability",Strategic Management Journal,10.1002/smj.3236,
scopus,2-s2.0-85102533301,Dikova D.,2021,Performance Effects of Internationalization: Contingency Theory Analysis of Russian Internationalized Firms,Management and Organization Review,10.1017/mor.2020.39,
scopus,2-s2.0-85118584598,Bhattacharya I.,2021,Lean manufacturing techniques – implementation in indian msmes and benefits realized thereof,Indian Journal of Engineering and Materials Sciences,,
scopus,2-s2.0-85082558539,Parker D.W.,2021,Improving productivity of a financial firm: business model evolution in the Caribbean,International Journal of Productivity and Performance Management,10.1108/ijppm-01-2019-0027,
scopus,2-s2.0-85147351549,İmer S.T.,2021,How to Increase the Internationalization Capacity of Science & Technology Park Firms: Some Lessons for The Managers,Sosyoekonomi,10.17233/sosyoekonomi.2021.01.02,
scopus,2-s2.0-85081722872,Bojnec Š.,2021,Corporate sustainability and enterprise performance: The mediating effects of internationalization and networks,International Journal of Productivity and Performance Management,10.1108/ijppm-05-2019-0226,
scopus,2-s2.0-85106829220,Mullen C.,2021,‘Letters to the editor’: the relationship between multinationality and firm performance in emerging markets,Transnational Corporations Review,10.1080/19186444.2020.1857122,
scopus,2-s2.0-85108459018,Wei S.Y.,2021,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992-2017),Mathematical Problems in Engineering,10.1155/2021/5528972,
scopus,2-s2.0-85103136340,Meschi P.X.,2021,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,Management France,10.37725/mgmt.v24i1.4507,
scopus,2-s2.0-85121147611,Rienda L.,2021,The role of family firms' heterogeneity on the internationalisation and performance relationship,European Journal of Family Business,10.24310/ejfbejfb.v11i2.10591,
scopus,2-s2.0-85104574697,Makris I.A.,2021,Analysing factors that affect profitability and growth in French publicly listed firms,International Journal of Economics and Business Research,10.1504/ijebr.2021.114395,
scopus,2-s2.0-85105382902,Roque A.F.,2021,Management accounting and control systems in the uppsala internationalization process model. A case study,Innovar,10.15446/innovar.v31n80.93661,
scopus,2-s2.0-85088626723,Yang Y.,2021,Adoption timing of OHSAS 18001 and firm performance: An institutional theory perspective,International Journal of Production Economics,10.1016/j.ijpe.2020.107870,
scopus,2-s2.0-85099801892,Rahko J.,2021,R&D internationalization and firm productivity. Does the host country matter?,Applied Economics,10.1080/00036846.2020.1853668,
scopus,2-s2.0-85111458810,Spuldaro J.D.,2021,The effect of innovation on the financial performance and export intensity of firms in emerging countries,International Journal of Business Innovation and Research,10.1504/ijbir.2021.116382,
scopus,2-s2.0-85101844131,Biener C.,2021,Globalisation: Blessing or curse? Evidence from the insurance industry,European Journal of International Management,10.1504/ejim.2021.113232,
scopus,2-s2.0-85092039239,Song H.J.,2021,Impact of the COVID-19 pandemic: Evidence from the U.S. restaurant industry,International Journal of Hospitality Management,10.1016/j.ijhm.2020.102702,
scopus,2-s2.0-85092204319,Yang C.H.,2021,Globalization and the labor share in China: Firm-level evidence,Manchester School,10.1111/manc.12350,
scopus,2-s2.0-85113392765,Saria D.W.,2021,Global Trading of Electronic Component in Indonesia Manufacturing Industry,Review of International Geographical Education Online,10.33403/rigeo.800652,
scopus,2-s2.0-85106567133,Aguirre Benalcázar M.C.,2021,Situation of the Ecuadorian mediumsized company: Distinctive features of its management practices,Revista De Ciencias Sociales,,
scopus,2-s2.0-85104135046,Hussaini N.,2021,Linkage between enterpreneurial orientation and export performance of South Asian countries,International Journal of Entrepreneurship,,
scopus,2-s2.0-85122227968,Ismail M.,2020,Top management capabilities and performance of halal product,Innovation and Management Review,10.1108/inmr-05-2019-0068,
scopus,2-s2.0-85084006666,Sraha G.,2020,"International experience, commitment, distribution adaptation and performance: a study of Ghanaian firms in B2B export markets",Journal of Business and Industrial Marketing,10.1108/jbim-05-2019-0197,
scopus,2-s2.0-85078962517,Valiyattoor V.,2020,Conventional procedure vis-à-vis bootstrap-based corrections of efficiency analyses,Indian Growth and Development Review,10.1108/igdr-04-2019-0035,
