priority_rank,seq,doi_status,icrv,year,authors,title,journal,doi,prescreen_reason,dpl,fp_type
23,246,DOI,1,2021,"Ubeda-Garcia, Mercedes; Rienda, Laura; Carmen Zaragoza-Saez, Patrocinio; Andreu-Guerrero, Rosario","The impact of knowledge management on the internationalization, organizational ambidexterity and performance of Spanish hotel chains",INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,10.1108/ijchm-10-2020-1141,INCL:internationalization,3,TBD
24,265,DOI,1,2019,"Tashman, Peter; Marano, Valentina; Babin, Jessica",Firm-specific assets and the internationalization performance relationship in the US movie studio industry,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2019.03.003,INCL:internationalization,3,TBD
25,270,DOI,1,2019,"Lee, Sunhae; Park, Sae Woon; Namgung, Dam",Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.4.30,INCL:internationalization,3,TBD
26,277,DOI,1,2018,"Lee, Seung Hyun; Leem, Choon Seong; Bae, Dae Jung","The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",INFORMATION TECHNOLOGY & MANAGEMENT,10.1007/s10799-018-0287-2,INCL:internationalization|sales-growth,3,sales_growth
27,279,DOI,1,2018,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,FOREST POLICY AND ECONOMICS,10.1016/j.forpol.2018.09.013,INCL:internationalization,3,TBD
28,281,DOI,1,2018,"Peters, Bettina; Riley, Rebecca; Siedschlag, Iulia; Vahter, Priit; McQuinn, John","Internationalisation, innovation and productivity in services: evidence from Germany, Ireland and the United Kingdom",REVIEW OF WORLD ECONOMICS,10.1007/s10290-018-0313-9,INCL:internationalization|export-productivity,3,Productivity
29,282,DOI,1,2018,"Jin, Byoungho; Jung, Sojin; Jeong, So Won",Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-017-0457-4,INCL:internationalization,3,TBD
30,283,DOI,1,2018,"Carmen Perez-Lopez, M.; Elena Gomez-Miranda, M.; Argente-Linares, Eva; Lopez-Sanchez, Lina","The internationalisation of Spanish family firms through business groups: Factors affecting the profitability, and the moderating effect of the family nature of the Spanish business",REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW,10.1016/j.rcsar.2017.09.002,INCL:internationalization|financial-perf,3,financial_perf
31,293,DOI,1,2017,"Borda, Armando; Geleilate, Jose-Mauricio G.; Newburry, William; Kundu, Sumit K.","Firm internationalization, business group diversification and firm performance: The case of Latin American firms",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.11.006,INCL:internationalization|firm-performance,3,firm_performance
32,298,DOI,1,2016,"Brida, Juan Gabriel; Ramon-Rodriguez, Ana B.; Jesus Such-Devesa, Maria; Driha, Oana",The inverted-U relationship between the degree of internationalization and the performance: The case of Spanish hotel chains,TOURISM MANAGEMENT PERSPECTIVES,10.1016/j.tmp.2015.12.016,INCL:internationalization|DOI,3,TBD
33,302,DOI,1,2016,"Jung, SoYeon; Lee, Seoki; Dalbor, Michael",The negative synergistic effect of internationalization and corporate social responsibility on US restaurant firms' value performance,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,10.1108/ijchm-07-2014-0361,INCL:internationalization,3,TBD
34,328,DOI,1,2012,"Wakasugi, Ryuhei; Tanaka, Ayumu",Productivity Heterogeneity and Internationalization: Evidence from Japanese Firms,MILLENNIAL ASIA,10.1177/097639961200300103,INCL:internationalization|export-productivity,3,Productivity
35,329,DOI,1,2012,"Liu, Yunshi; Yu, Hui-Yun; Valenti, M. Alix","Presuccession Performance, CEO Succession, Top Management Team, and Change in a Firm's Internationalization: The Moderating Effect of CEO/Chairperson Dissimilarity",CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,10.1002/cjas.196,INCL:internationalization,3,TBD
36,333,DOI,1,2012,"Chongvilaivan, Aekapol","Learning by exporting and high-tech capital deepening in Singapore manufacturing industries, 1974-2006",APPLIED ECONOMICS,10.1080/00036846.2011.566184,INCL:exporter|export-productivity,3,
37,336,DOI,1,2011,"Jean, Ruey-Jer Bryan; Tan, Danchi; Sinkovics, Rudolf R.","Ethnic ties, location choice, and firm performance in foreign direct investment: A study of Taiwanese business groups FDI in China",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.02.012,INCL:FDI|firm-performance,3,firm_performance
38,348,DOI,1,2007,"Castellani, Davide; Zanfei, Antonello","Internationalisation, innovation and productivity: How do firms differ in Italy?",WORLD ECONOMY,10.1111/j.1467-9701.2007.00875.x,INCL:internationalization|export-productivity,2,Productivity
39,350,DOI,1,2005,"Yu, CMJ; Chiao, YC; Chen, CJ",The impact of internationalisation and proprietary assets on firm performance: an empirical analysis of Taiwanese high-tech firms,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2005.006007,INCL:internationalization|firm-performance,2,firm_performance
40,351,DOI,1,2005,"Gerpott, TJ; Jakopin, NM",The degree of internationalization and the financial performance of European mobile network operators,TELECOMMUNICATIONS POLICY,10.1016/j.telpol.2005.06.003,INCL:internationalization|DOI|financial-perf,2,financial_perf
41,470,DOI,1,2022,"Nkambule, Ncamsile Ashley; Wang, Wei-Kang; Ting, Irene Wei Kiong; Lu, Wen-Min",Intellectual capital and firm efficiency of US multinational software firms,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,INCL:MNE,3,Efficiency
42,473,DOI,1,2021,"Alnori, Faisal",Exploring nonlinear linkage between profitability and leverage: US multinational versus domestic corporations,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,10.1111/jifm.12134,INCL:MNE|financial-perf,3,financial_perf
43,481,DOI,1,2018,"Bougheas, Spiros; Lim, Hosung; Mateut, Simona; Mizen, Paul; Yalcin, Cihan","Foreign currency borrowing, exports and firm performance: evidence from a currency crisis",EUROPEAN JOURNAL OF FINANCE,10.1080/1351847x.2017.1421246,INCL:firm-performance,3,firm_performance
44,486,DOI,1,2015,"Lu, Cheng-Chang; Kuan, Tsung-Han; Liu, Chwen-Chi",Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Risk-taking: Evidence from Taiwanese Enterprises,CHINA & WORLD ECONOMY,10.1111/cwe.12128,INCL:MNE|firm-performance|financial-perf,3,financial_perf
45,487,DOI,1,2014,"Mohr, Alex; Fastoso, Fernando; Wang, Chengang; Shirodkar, Vikrant","Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Speed and Experience",BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12013,INCL:MNE,3,TBD
46,491,DOI,1,2009,"Driffield, Nigel; Chiang, P.","The Effects of Offshoring to China: Reallocation, Employment and Productivity in Taiwan",INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS,10.1080/13571510802638916,INCL:subsidiaries|export-productivity,2,Productivity
47,493,DOI,1,2009,"Love, James H.; Mansury, Mica Ariana",Exporting and productivity in business services: Evidence from the United States,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.08.002,INCL:exporter|export-productivity,2,Productivity
48,494,DOI,1,2009,"Koh, Yoon; Lee, Seoki; Boo, Soyoung",Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant companies' perspective,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2009.04.002,INCL:MNE|firm-performance,2,firm_performance
49,4,DOI,2,2026,"Li, Jin; Li, Haohang; Li, Tong",Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,JOURNAL OF APPLIED ECONOMICS,10.1080/15140326.2026.2617752,INCL:internationalization,3,
50,16,DOI,2,2024,"Amutabi, Cyprian",Total factor productivity in Kenyan manufacturing firms: The role of ISO certification and direct vs indirect export intensity,SOUTH AFRICAN JOURNAL OF ECONOMICS,10.1111/saje.12372,INCL:productivity|export-productivity,3,TFP
51,26,DOI,2,2024,"Wang, Linjiang; Zhang, Guiling; Lou, Xu; Guo, Fei",Does corporate internationalization affect analysts' ' earnings forecast bias? Evidence from China,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/j.ribaf.2024.102505,INCL:internationalization,3,
52,34,DOI,2,2023,"Krishnan, Amal; Mundakkad, Padmaja",Outward FDI and its impact on the parent firm: A case of Indian manufacturing firms,ECONOMICS BULLETIN,10.1007/978-981-97-8999-3_3,INCL:FDI,3,
53,38,DOI,2,2022,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,INCL:outsourcing→exports-and-financial-perf,3,ACC
54,42,DOI,2,2022,"Rakshit, Sandip; Islam, Nazrul; Mondal, Sandeep; Paul, Tripti",Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,TECHNOVATION,10.1016/j.technovation.2022.102518,INCL:internationalization,3,
55,45,DOI,2,2021,"Yen, I-Fan; Lin, Hsin-Mei",Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,CHINESE MANAGEMENT STUDIES,10.1108/cms-12-2019-0441,INCL:MNE,3,TBD
56,46,DOI,2,2021,"Mullen, Cormac",'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,INCL:MNE|firm-performance,3,firm_performance
57,49,DOI,2,2021,"Adomako, Samuel; Amankwah-Amoah, Joseph; Tarba, Shlomo Y.; Khan, Zaheer","Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.09.065,INCL:internationalization|DOI,3,
58,63,DOI,2,2020,"Dai, Meihong; Li, Ben",Improving firm survival: exports or outward foreign direct investment?,POST-COMMUNIST ECONOMIES,10.1080/14631377.2019.1678097,INCL:FDI,3,SURV
59,77,DOI,2,2018,Long Quang Trinh; Ha Thi Thanh Doan,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",JOURNAL OF ASIAN ECONOMICS,10.1016/j.asieco.2018.01.002,INCL:internationalization,3,GROW
60,87,DOI,2,2016,"Bhaumik, Sumon Kumar; Driffield, Nigel; Zhou, Ying","Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.12.006,INCL:MNE,3,TBD
61,88,DOI,2,2016,"Kirca, Ahmet H.; Fernandez, Whitney Dougla; Kundu, Sumit K.",An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2016.03.003,INCL:MNE,3,TBD
62,89,DOI,2,2016,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,INCL:MNE|firm-performance,3,firm_performance
63,94,DOI,2,2016,"Arudchelvan, Menaka; Wignaraja, Ganeshan",SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,PRODUCTION NETWORKS AND ENTERPRISES IN EAST ASIA: INDUSTRY AND FIRM-LEVEL ANALYSIS,10.1007/978-4-431-55498-1_10,INCL:internationalization,3,
64,107,DOI,2,2015,"Aureli, Selena",Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2014-0233,INCL:MNE,3,
65,120,DOI,2,2013,"Chandran, V. G. R.; Rasiah, Rajah","FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,INCL:exports+economic-performance,3,
66,121,DOI,2,2013,"Shiau, Huey-Ling; Huang, Chen-Jui; Chen, Fong-Chyi","International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI in China",EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x4905s413,INCL:FDI,3,
67,125,DOI,2,2012,"De Beule, Filip; Duanmu, Jing-Lin",Locational determinants of internationalization: A firm-level analysis of Chinese and Indian acquisitions,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2012.03.006,INCL:internationalization,3,
68,132,DOI,2,2011,"Sharma, Chandan; Mishra, Ritesh",Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,10.1080/02692171.2011.557046,INCL:export-productivity,3,LAB
69,162,DOI,2,2026,"Ma, Peng; Tan, Ya; Xu, Feng",Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,INCL:FDI,3,Productivity
70,169,DOI,2,2026,"Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan","Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,INCL:internationalization,3,TBD
71,172,DOI,2,2025,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,INCL:internationalization|MNE,3,TBD
72,174,DOI,2,2025,"Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu","Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization",ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,INCL:internationalization,3,TBD
73,176,DOI,2,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana","Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,10.3390/su17041576,INCL:internationalization|firm-performance,3,firm_performance
74,177,DOI,2,2025,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,INCL:internationalization|MNE,3,TBD
75,182,DOI,2,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,INCL:internationalization,3,TBD
76,188,DOI,2,2024,"da Cunha, Henrique Correa; Amal, Mohamed; Floriani, Dinora Eliete; Fleury, Maria Tereza Leme",Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-08-2021-1299,INCL:internationalization,3,ACC
77,189,DOI,2,2024,"Wang, Xuetong; Feng, Xu; He, Yujun; Cui, Xuezhu; Song, Xiangnan; Xi, Mingbo; Liu, Jingkuang",How does corporate internationalization affect the link between social responsibility and financial performance? Evidence from China,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,10.1080/09640568.2023.2189057,INCL:internationalization|financial-perf,3,financial_perf
78,197,DOI,2,2024,"Wang, Shanshan; Chen, Fenglan; Yang, Xiaoyan","Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises",HELIYON,10.1016/j.heliyon.2024.e33492,INCL:internationalization,3,TBD
79,201,DOI,2,2024,"Jain, Samta; Kashiramka, Smita; Jain, P. K.",Performance of cross-border acquirers from India and China: its sustainability in the long-run?,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-01-2023-0002,INCL:cross-border-M&A→performance,3,
80,211,DOI,2,2023,"Porto, Rafael Barreiros; Gomes Akitaya, Paula Borges; Oliveira, Denise Santos",Country of brand origin positioning and financial performance: effects on internationalized companies from an emerging market,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-11-2020-1423,INCL:internationalization|financial-perf,3,financial_perf
81,212,DOI,2,2023,"Rahman, Mahfuzur; Hack-Polay, Dieu; Shafique, Sujana; Igwe, Paul Agu",Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2021-0236,INCL:internationalization,3,TBD
82,214,DOI,2,2023,"Dayan, Mumin; Leung, Frank Yat Cheong; Ozer, Muammer",Role of imported raw materials in the performance of inward foreign direct investments in Ethiopia,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-09-2020-1097,INCL:FDI,3,TBD
83,222,DOI,2,2023,"Camino-Mogro, Segundo; Ordenana-Rodriguez, Xavier; Vera-Gilces, Paul",Learning-by-exporting vs. self-selection in Ecuadorian manufacturing firms: Evidence from different industry classifications,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2094451,INCL:exporter|export-productivity,3,
84,224,DOI,2,2022,"Zhang, Song; Li, Haoze; Chen, Chunlai",Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-07-2020-0795,INCL:FDI|exporter|export-productivity,3,Productivity
85,226,DOI,2,2022,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,INCL:internationalization|firm-performance,3,firm_performance
86,228,DOI,2,2022,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee, Boon L.; Skitmore, Martin",Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000985,INCL:internationalization|export-productivity,3,Productivity
87,234,DOI,2,2022,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan, Limin",The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,PLOS ONE,10.1371/journal.pone.0263674,INCL:internationalization|firm-performance,3,firm_performance
88,247,DOI,2,2021,"Zhang, Banruo; Li, Zijie; Li, Xiaomeng; Liu, Ziqi",Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2020-0249,INCL:internationalization|firm-performance,3,firm_performance
89,252,DOI,2,2020,"Kim, Heechun; Wu, Jie; Schuler, Douglas A.; Hoskisson, Robert E.","Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-019-00279-9,INCL:internationalization|MNE|financial-perf,3,financial_perf
90,253,DOI,2,2020,"Wang, Ge; Zhang, Huijin; Xia, Bo; Wu, Guangdong; Han, Yilong",Relationship between Internationalization and Financial Performance: Evidence from ENR-Listed Chinese Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000736,INCL:internationalization|financial-perf,3,financial_perf
91,263,DOI,2,2019,"Jain, Naveen Kumar; Celo, Sokol; Kumar, Vikas","Internationalization speed, resources and performance: Evidence from Indian software industry",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.09.019,INCL:internationalization,3,TBD
92,266,DOI,2,2019,"Cui, Lin; Xu, Ying",Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2019.04.002,INCL:internationalization|FDI|financial-perf,3,financial_perf
93,267,DOI,2,2019,"Pittiglio, Rosanna; Reganati, Filippo",Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,WORLD ECONOMY,10.1111/twec.12837,INCL:FDI,3,Productivity
94,268,DOI,2,2019,"Tang, Chunhui; Tang, Yaojia; Su, Shengwei","R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises",EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2018.11.003,INCL:internationalization,3,TBD
