country,year,firm_id,product_innov,process_innov,rd_spending
Azerbaijan,2024,1526768,,0.0,
Azerbaijan,2024,1526769,0.0,0.0,0.0
Azerbaijan,2024,1526770,1.0,1.0,1.0
Azerbaijan,2024,1526771,0.0,0.0,0.0
Azerbaijan,2024,1526772,0.0,0.0,0.0
Azerbaijan,2024,1526773,0.0,0.0,0.0
Azerbaijan,2024,1526774,1.0,0.0,1.0
Azerbaijan,2024,1526775,0.0,0.0,1.0
Azerbaijan,2024,1526776,1.0,1.0,1.0
Azerbaijan,2024,1526777,0.0,0.0,1.0
Azerbaijan,2024,1526778,1.0,0.0,0.0
Azerbaijan,2024,1526779,0.0,0.0,0.0
Azerbaijan,2024,1526780,0.0,0.0,0.0
Azerbaijan,2024,1526781,1.0,1.0,1.0
Azerbaijan,2024,1526782,1.0,1.0,1.0
Azerbaijan,2024,1526783,1.0,1.0,0.0
Azerbaijan,2024,1526784,1.0,1.0,1.0
Azerbaijan,2024,1526785,0.0,0.0,0.0
Azerbaijan,2024,1526787,0.0,0.0,0.0
Azerbaijan,2024,1526788,0.0,0.0,0.0
Azerbaijan,2024,1526789,0.0,0.0,1.0
Azerbaijan,2024,1526790,1.0,1.0,0.0
Azerbaijan,2024,1526791,0.0,0.0,0.0
Azerbaijan,2024,1526792,1.0,1.0,0.0
Azerbaijan,2024,1526793,0.0,0.0,0.0
Azerbaijan,2024,1526794,1.0,0.0,0.0
Azerbaijan,2024,1526795,0.0,0.0,0.0
Azerbaijan,2024,1526796,1.0,1.0,1.0
Azerbaijan,2024,1526797,0.0,0.0,0.0
Azerbaijan,2024,1526798,0.0,0.0,0.0
Azerbaijan,2024,1526799,1.0,0.0,0.0
Azerbaijan,2024,1526800,0.0,0.0,0.0
Azerbaijan,2024,1526801,0.0,0.0,0.0
Azerbaijan,2024,1526802,0.0,0.0,0.0
Azerbaijan,2024,1526803,1.0,0.0,1.0
Azerbaijan,2024,1526804,1.0,1.0,1.0
Azerbaijan,2024,1526805,0.0,0.0,
Azerbaijan,2024,1526806,1.0,1.0,1.0
Azerbaijan,2024,1526807,0.0,0.0,0.0
Azerbaijan,2024,1526808,0.0,0.0,0.0
Azerbaijan,2024,1526809,0.0,0.0,0.0
Azerbaijan,2024,1526810,1.0,1.0,0.0
Azerbaijan,2024,1526811,1.0,0.0,0.0
Azerbaijan,2024,1526812,0.0,0.0,0.0
Azerbaijan,2024,1526813,1.0,0.0,1.0
Azerbaijan,2024,1526814,1.0,0.0,1.0
Azerbaijan,2024,1526815,0.0,0.0,0.0
Azerbaijan,2024,1526816,0.0,0.0,0.0
Azerbaijan,2024,1526817,1.0,0.0,0.0
Azerbaijan,2024,1526818,0.0,0.0,
Azerbaijan,2024,1526819,0.0,0.0,0.0
Azerbaijan,2024,1526820,0.0,0.0,0.0
Azerbaijan,2024,1526821,0.0,1.0,0.0
Azerbaijan,2024,1526822,0.0,0.0,0.0
Azerbaijan,2024,1526823,0.0,0.0,0.0
Azerbaijan,2024,1526824,1.0,1.0,1.0
Azerbaijan,2024,1526825,1.0,0.0,0.0
Azerbaijan,2024,1526826,0.0,0.0,0.0
Azerbaijan,2024,1526827,0.0,0.0,0.0
Azerbaijan,2024,1526828,0.0,0.0,0.0
Azerbaijan,2024,1526829,0.0,0.0,0.0
Azerbaijan,2024,1526830,0.0,0.0,0.0
Azerbaijan,2024,1526831,1.0,0.0,0.0
Azerbaijan,2024,1526832,0.0,0.0,0.0
Azerbaijan,2024,1526833,0.0,0.0,0.0
Azerbaijan,2024,1526834,0.0,0.0,0.0
Azerbaijan,2024,1526835,0.0,0.0,0.0
Azerbaijan,2024,1526836,1.0,1.0,0.0
Azerbaijan,2024,1526837,0.0,0.0,0.0
Azerbaijan,2024,1526838,1.0,0.0,0.0
Azerbaijan,2024,1526839,0.0,0.0,0.0
Azerbaijan,2024,1526840,0.0,0.0,0.0
Azerbaijan,2024,1526841,0.0,0.0,0.0
Azerbaijan,2024,1526842,0.0,0.0,1.0
Azerbaijan,2024,1526843,0.0,0.0,0.0
Azerbaijan,2024,1526844,0.0,0.0,0.0
Azerbaijan,2024,1526845,1.0,,1.0
Azerbaijan,2024,1526846,0.0,0.0,0.0
Azerbaijan,2024,1526847,1.0,0.0,0.0
Azerbaijan,2024,1526848,0.0,0.0,0.0
Azerbaijan,2024,1526849,0.0,0.0,0.0
Azerbaijan,2024,1526850,0.0,0.0,0.0
Azerbaijan,2024,1526851,0.0,0.0,
Azerbaijan,2024,1526852,0.0,0.0,0.0
Azerbaijan,2024,1526853,0.0,0.0,0.0
Azerbaijan,2024,1526854,0.0,0.0,1.0
Azerbaijan,2024,1526855,0.0,0.0,0.0
Azerbaijan,2024,1526856,0.0,0.0,0.0
Azerbaijan,2024,1526857,1.0,0.0,0.0
Azerbaijan,2024,1526858,0.0,0.0,0.0
Azerbaijan,2024,1526859,0.0,0.0,0.0
Azerbaijan,2024,1526860,0.0,0.0,0.0
Azerbaijan,2024,1526861,0.0,0.0,0.0
Azerbaijan,2024,1526862,1.0,,
Azerbaijan,2024,1526863,0.0,0.0,0.0
Azerbaijan,2024,1526864,0.0,0.0,0.0
Azerbaijan,2024,1526865,0.0,0.0,0.0
Azerbaijan,2024,1526866,0.0,0.0,0.0
Azerbaijan,2024,1526867,1.0,0.0,0.0
Azerbaijan,2024,1526868,0.0,1.0,0.0
Azerbaijan,2024,1526869,0.0,0.0,0.0
Azerbaijan,2024,1526870,0.0,0.0,0.0
Azerbaijan,2024,1526871,0.0,0.0,0.0
Azerbaijan,2024,1526872,0.0,0.0,0.0
Azerbaijan,2024,1526873,0.0,0.0,0.0
Azerbaijan,2024,1526874,0.0,0.0,0.0
Azerbaijan,2024,1526875,0.0,0.0,0.0
Azerbaijan,2024,1526876,0.0,0.0,0.0
Azerbaijan,2024,1526877,1.0,0.0,1.0
Azerbaijan,2024,1526878,0.0,0.0,1.0
Azerbaijan,2024,1526879,1.0,1.0,1.0
Azerbaijan,2024,1526880,0.0,1.0,1.0
Azerbaijan,2024,1526881,0.0,1.0,0.0
Azerbaijan,2024,1526882,0.0,0.0,0.0
Azerbaijan,2024,1526883,0.0,0.0,0.0
Azerbaijan,2024,1526884,0.0,0.0,
Azerbaijan,2024,1526885,1.0,0.0,1.0
Azerbaijan,2024,1526886,0.0,0.0,0.0
Azerbaijan,2024,1526887,1.0,1.0,1.0
Azerbaijan,2024,1526888,0.0,1.0,1.0
Azerbaijan,2024,1526889,0.0,0.0,
Azerbaijan,2024,1526890,0.0,1.0,0.0
Azerbaijan,2024,1526891,1.0,0.0,0.0
Azerbaijan,2024,1526892,0.0,0.0,0.0
Azerbaijan,2024,1526893,0.0,0.0,0.0
Azerbaijan,2024,1526894,0.0,0.0,0.0
Azerbaijan,2024,1526895,1.0,0.0,1.0
Azerbaijan,2024,1526896,0.0,0.0,0.0
Azerbaijan,2024,1526897,0.0,0.0,0.0
Azerbaijan,2024,1526898,1.0,0.0,0.0
Azerbaijan,2024,1526899,0.0,0.0,0.0
Azerbaijan,2024,1526900,0.0,0.0,0.0
Azerbaijan,2024,1526901,0.0,0.0,0.0
Azerbaijan,2024,1526902,0.0,0.0,0.0
Azerbaijan,2024,1526903,0.0,,1.0
Azerbaijan,2024,1526904,1.0,1.0,1.0
Azerbaijan,2024,1526905,0.0,0.0,0.0
Azerbaijan,2024,1526906,0.0,0.0,0.0
Azerbaijan,2024,1526907,0.0,0.0,0.0
Azerbaijan,2024,1526908,0.0,0.0,
Azerbaijan,2024,1526909,1.0,0.0,1.0
Azerbaijan,2024,1526910,0.0,0.0,0.0
Azerbaijan,2024,1526911,0.0,0.0,0.0
Azerbaijan,2024,1526912,0.0,0.0,0.0
Azerbaijan,2024,1526913,0.0,0.0,0.0
Azerbaijan,2024,1526914,0.0,0.0,0.0
Azerbaijan,2024,1526915,0.0,0.0,0.0
Azerbaijan,2024,1526916,1.0,1.0,0.0
Azerbaijan,2024,1526917,0.0,0.0,
Azerbaijan,2024,1526918,0.0,0.0,0.0
Azerbaijan,2024,1526919,0.0,0.0,
Azerbaijan,2024,1526920,0.0,0.0,0.0
Azerbaijan,2024,1526921,0.0,0.0,0.0
Azerbaijan,2024,1526922,1.0,1.0,1.0
Azerbaijan,2024,1526923,0.0,0.0,0.0
Azerbaijan,2024,1526924,1.0,1.0,1.0
Azerbaijan,2024,1526925,0.0,0.0,0.0
Azerbaijan,2024,1526926,0.0,0.0,0.0
Azerbaijan,2024,1526927,1.0,0.0,0.0
Azerbaijan,2024,1526928,1.0,1.0,1.0
Azerbaijan,2024,1526929,0.0,0.0,1.0
Azerbaijan,2024,1526930,0.0,0.0,0.0
Azerbaijan,2024,1526931,0.0,0.0,0.0
Azerbaijan,2024,1526932,0.0,0.0,0.0
Azerbaijan,2024,1526933,0.0,0.0,0.0
Azerbaijan,2024,1526934,0.0,0.0,0.0
Azerbaijan,2024,1526935,0.0,0.0,0.0
Azerbaijan,2024,1526936,0.0,0.0,0.0
Azerbaijan,2024,1526937,1.0,0.0,0.0
Azerbaijan,2024,1526938,0.0,0.0,0.0
Azerbaijan,2024,1526939,0.0,0.0,0.0
Azerbaijan,2024,1526940,0.0,0.0,0.0
Azerbaijan,2024,1526941,0.0,0.0,0.0
Azerbaijan,2024,1526942,0.0,0.0,0.0
Azerbaijan,2024,1526943,0.0,0.0,0.0
Azerbaijan,2024,1526944,0.0,0.0,0.0
Azerbaijan,2024,1526945,0.0,0.0,0.0
Azerbaijan,2024,1526946,0.0,0.0,1.0
Azerbaijan,2024,1526947,1.0,0.0,0.0
Azerbaijan,2024,1526948,0.0,0.0,0.0
Azerbaijan,2024,1526950,0.0,0.0,
Azerbaijan,2024,1526951,1.0,1.0,1.0
